,Unnamed: 0,City,P_avg_per_m_sec,Population,P_avg_per_m_new,Expl_t_avg_sec,month,dummy_space,dummy_time,year,t,Reg_russian,Reg,Federal_district,lat,lon,city_id
21,21.0,Абаза,39990,12272,,,4,0,0,2022,40,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137
22,22.0,Абаза,29263,12272,,,5,0,0,2022,41,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137
23,23.0,Абаза,36952,12272,,7 д 1 ч,6,0,0,2022,42,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137
24,24.0,Абаза,30629,12272,,124 д,7,0,0,2022,43,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137
25,25.0,Абаза,22034,12272,,25 д 9 ч,8,0,0,2022,44,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137
26,26.0,Абаза,19900,12272,,9 д 8 ч,9,0,0,2022,45,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137
27,27.0,Абаза,23179,12272,,81 д 5 ч,10,0,0,2022,46,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137
28,28.0,Абаза,23627,12272,,13 д 10 ч,11,0,0,2022,47,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137
29,29.0,Абаза,34106,12272,,8 д 16 ч,12,0,0,2022,48,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137
30,30.0,Абаза,45832,12272,,14 д 20 ч,1,0,0,2023,49,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137
31,31.0,Абаза,34528,12272,,11 д 12 ч,2,0,0,2023,50,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137
32,32.0,Абаза,30172,12272,,7 д 22 ч,3,0,0,2023,51,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137
33,33.0,Абаза,38462,12272,,25 д 13 ч,4,0,0,2023,52,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137
34,34.0,Абаза,36750,12272,,143 д 21 ч,5,0,0,2023,53,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137
35,35.0,Абаза,35599,12272,,47 д 6 ч,6,0,0,2023,54,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137
36,36.0,Абаза,35640,12272,,15 д,7,0,0,2023,55,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137
37,37.0,Абаза,35465,12272,,235 д 12 ч,8,0,0,2023,56,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137
38,38.0,Абаза,42552,12272,,121 д 19 ч,9,0,0,2023,57,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137
39,39.0,Абаза,35509,12272,,19 д 19 ч,10,0,0,2023,58,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137
40,40.0,Абаза,36167,12272,,171 д 4 ч,11,0,0,2023,59,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137
41,41.0,Абаза,42084,12272,,65 д 13 ч,12,0,1,2023,60,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137
42,42.0,Абаза,36745,12272,,,1,0,1,2024,61,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137
43,43.0,Абаза,24546,12272,,121 д 19 ч,2,0,1,2024,62,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137
44,44.0,Абаза,44894,12272,,,3,0,1,2024,63,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137
45,45.0,Абаза,49134,12272,,,4,0,1,2024,64,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137
46,46.0,Абаза,38226,12272,,24 д 13 ч,5,0,1,2024,65,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137
86,86.0,Абакан,86893,184769,84450.0,52 д 5 ч,4,0,0,2022,40,Республика Хакасия,respublika-khakasiya,Сибирский,53.71667,91.41667,310
87,87.0,Абакан,86563,184769,82008.0,32 д 19 ч,5,0,0,2022,41,Республика Хакасия,respublika-khakasiya,Сибирский,53.71667,91.41667,310
88,88.0,Абакан,86842,184769,87430.0,93 д 16 ч,6,0,0,2022,42,Республика Хакасия,respublika-khakasiya,Сибирский,53.71667,91.41667,310
89,89.0,Абакан,87000,184769,79514.0,83 д 4 ч,7,0,0,2022,43,Республика Хакасия,respublika-khakasiya,Сибирский,53.71667,91.41667,310
90,90.0,Абакан,87085,184769,82284.0,72 д 3 ч,8,0,0,2022,44,Республика Хакасия,respublika-khakasiya,Сибирский,53.71667,91.41667,310
91,91.0,Абакан,87500,184769,86468.0,93 д 17 ч,9,0,0,2022,45,Республика Хакасия,respublika-khakasiya,Сибирский,53.71667,91.41667,310
92,92.0,Абакан,87391,184769,82390.0,77 д 13 ч,10,0,0,2022,46,Республика Хакасия,respublika-khakasiya,Сибирский,53.71667,91.41667,310
93,93.0,Абакан,86560,184769,88017.0,76 д 4 ч,11,0,0,2022,47,Республика Хакасия,respublika-khakasiya,Сибирский,53.71667,91.41667,310
94,94.0,Абакан,89787,184769,87108.0,94 д 3 ч,12,0,0,2022,48,Республика Хакасия,respublika-khakasiya,Сибирский,53.71667,91.41667,310
95,95.0,Абакан,90040,184769,,105 д 7 ч,1,0,0,2023,49,Республика Хакасия,respublika-khakasiya,Сибирский,53.71667,91.41667,310
96,96.0,Абакан,89686,184769,82870.0,69 д 8 ч,2,0,0,2023,50,Республика Хакасия,respublika-khakasiya,Сибирский,53.71667,91.41667,310
97,97.0,Абакан,91667,184769,82000.0,84 д 6 ч,3,0,0,2023,51,Республика Хакасия,respublika-khakasiya,Сибирский,53.71667,91.41667,310
98,98.0,Абакан,91214,184769,90344.0,73 д 22 ч,4,0,0,2023,52,Республика Хакасия,respublika-khakasiya,Сибирский,53.71667,91.41667,310
99,99.0,Абакан,92792,184769,87041.0,72 д 7 ч,5,0,0,2023,53,Республика Хакасия,respublika-khakasiya,Сибирский,53.71667,91.41667,310
100,100.0,Абакан,91816,184769,89400.0,69 д 20 ч,6,0,0,2023,54,Республика Хакасия,respublika-khakasiya,Сибирский,53.71667,91.41667,310
101,101.0,Абакан,95825,184769,105384.0,62 д 9 ч,7,0,0,2023,55,Республика Хакасия,respublika-khakasiya,Сибирский,53.71667,91.41667,310
102,102.0,Абакан,94881,184769,93169.0,74 д 21 ч,8,0,0,2023,56,Республика Хакасия,respublika-khakasiya,Сибирский,53.71667,91.41667,310
103,103.0,Абакан,98214,184769,98294.0,100 д 22 ч,9,0,0,2023,57,Республика Хакасия,respublika-khakasiya,Сибирский,53.71667,91.41667,310
104,104.0,Абакан,111000,184769,195000.0,127 д 23 ч,10,0,0,2023,58,Республика Хакасия,respublika-khakasiya,Сибирский,53.71667,91.41667,310
105,105.0,Абакан,103045,184769,196000.0,83 д 1 ч,11,0,0,2023,59,Республика Хакасия,respublika-khakasiya,Сибирский,53.71667,91.41667,310
106,106.0,Абакан,107030,184769,197000.0,82 д 9 ч,12,0,1,2023,60,Республика Хакасия,respublika-khakasiya,Сибирский,53.71667,91.41667,310
107,107.0,Абакан,106870,184769,205000.0,118 д 15 ч,1,0,1,2024,61,Республика Хакасия,respublika-khakasiya,Сибирский,53.71667,91.41667,310
108,108.0,Абакан,101136,184769,180205.0,76 д 8 ч,2,0,1,2024,62,Республика Хакасия,respublika-khakasiya,Сибирский,53.71667,91.41667,310
