,City,P_avg_per_m_sec,Population,P_avg_per_m_new,Expl_t_avg_sec,month,dummy_space,dummy_time,year,t,Reg_russian,Reg,Federal_district,lat,lon,city_id,month_dt
0,Абаза,39990,12272,,,04,0,0,2022,40,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137,2022-04-01
1,Абаза,29263,12272,,,05,0,0,2022,41,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137,2022-05-01
2,Абаза,36952,12272,,7 д 1 ч,06,0,0,2022,42,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137,2022-06-01
3,Абаза,30629,12272,,124 д,07,0,0,2022,43,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137,2022-07-01
4,Абаза,22034,12272,,25 д 9 ч,08,0,0,2022,44,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137,2022-08-01
5,Абаза,19900,12272,,9 д 8 ч,09,0,0,2022,45,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137,2022-09-01
6,Абаза,23179,12272,,81 д 5 ч,10,0,0,2022,46,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137,2022-10-01
7,Абаза,23627,12272,,13 д 10 ч,11,0,0,2022,47,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137,2022-11-01
8,Абаза,34106,12272,,8 д 16 ч,12,0,0,2022,48,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137,2022-12-01
9,Абаза,45832,12272,,14 д 20 ч,01,0,0,2023,49,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137,2023-01-01
10,Абаза,34528,12272,,11 д 12 ч,02,0,0,2023,50,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137,2023-02-01
11,Абаза,30172,12272,,7 д 22 ч,03,0,0,2023,51,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137,2023-03-01
12,Абаза,38462,12272,,25 д 13 ч,04,0,0,2023,52,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137,2023-04-01
13,Абаза,36750,12272,,143 д 21 ч,05,0,0,2023,53,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137,2023-05-01
14,Абаза,35599,12272,,47 д 6 ч,06,0,0,2023,54,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137,2023-06-01
15,Абаза,35640,12272,,15 д,07,0,0,2023,55,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137,2023-07-01
16,Абаза,35465,12272,,235 д 12 ч,08,0,0,2023,56,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137,2023-08-01
17,Абаза,42552,12272,,121 д 19 ч,09,0,0,2023,57,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137,2023-09-01
18,Абаза,35509,12272,,19 д 19 ч,10,0,0,2023,58,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137,2023-10-01
19,Абаза,36167,12272,,171 д 4 ч,11,0,0,2023,59,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137,2023-11-01
20,Абаза,42084,12272,,65 д 13 ч,12,0,1,2023,60,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137,2023-12-01
21,Абаза,36745,12272,,,01,0,1,2024,61,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137,2024-01-01
22,Абаза,24546,12272,,121 д 19 ч,02,0,1,2024,62,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137,2024-02-01
23,Абаза,44894,12272,,,03,0,1,2024,63,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137,2024-03-01
24,Абаза,49134,12272,,,04,0,1,2024,64,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137,2024-04-01
25,Абаза,38226,12272,,24 д 13 ч,05,0,1,2024,65,Республика Хакасия,respublika-khakasiya,Сибирский,52.65,90.08333,137,2024-05-01
26,Абакан,86893,184769,84450.0,52 д 5 ч,04,0,0,2022,40,Республика Хакасия,respublika-khakasiya,Сибирский,53.71667,91.41667,310,2022-04-01
27,Абакан,86563,184769,82008.0,32 д 19 ч,05,0,0,2022,41,Республика Хакасия,respublika-khakasiya,Сибирский,53.71667,91.41667,310,2022-05-01
28,Абакан,86842,184769,87430.0,93 д 16 ч,06,0,0,2022,42,Республика Хакасия,respublika-khakasiya,Сибирский,53.71667,91.41667,310,2022-06-01
29,Абакан,87000,184769,79514.0,83 д 4 ч,07,0,0,2022,43,Республика Хакасия,respublika-khakasiya,Сибирский,53.71667,91.41667,310,2022-07-01
30,Абакан,87085,184769,82284.0,72 д 3 ч,08,0,0,2022,44,Республика Хакасия,respublika-khakasiya,Сибирский,53.71667,91.41667,310,2022-08-01
