V1,index
2.4901940755454057,104.2022-04-01
2.400531566395764,104.2022-05-01
2.376234593134222,104.2022-06-01
2.387098884560658,104.2022-07-01
2.4424990656652734,104.2022-08-01
2.475682669739239,104.2022-09-01
2.478662002612275,104.2022-10-01
2.548830428564002,104.2022-11-01
2.556509915884686,104.2022-12-01
2.143050427976497,104.2023-01-01
2.7566132125857026,104.2023-02-01
2.7426154848620525,104.2023-03-01
2.775567933799096,104.2023-04-01
2.836336050856399,104.2023-05-01
2.7718437677074994,104.2023-06-01
2.847765388173752,104.2023-07-01
2.975517127076941,104.2023-08-01
3.225447197697214,104.2023-09-01
3.252286877462082,104.2023-10-01
3.1783172337074603,104.2023-11-01
0.33662440218376943,142.2022-04-01
0.5317707053974072,142.2022-05-01
0.2065611119137539,142.2022-06-01
0.556350201603657,142.2022-07-01
0.5282006427301216,142.2022-08-01
0.5337997338202695,142.2022-09-01
0.6087196820263667,142.2022-10-01
0.5003336068017455,142.2022-11-01
0.5761524916514069,142.2022-12-01
0.544253082781751,142.2023-01-01
0.4742644441595852,142.2023-02-01
0.6165019049649081,142.2023-03-01
0.7536025849534711,142.2023-04-01
0.7663931691858479,142.2023-05-01
1.0238486237017221,142.2023-06-01
0.9245289666182074,142.2023-07-01
1.2081049515852769,142.2023-08-01
1.3071164018205308,142.2023-09-01
1.18439870811895,142.2023-10-01
1.3566092849874816,142.2023-11-01
-0.4502019993648227,178.2022-04-01
-0.41129088468092373,178.2022-05-01
-0.453309751758736,178.2022-06-01
-0.4944553660976957,178.2022-07-01
-0.45431142401780883,178.2022-08-01
-0.4491746432014427,178.2022-09-01
-0.397472944284787,178.2022-10-01
-0.44434606923355896,178.2022-11-01
-0.30213429233292,178.2022-12-01
-0.2951996382308793,178.2023-01-01
-0.3164402269060688,178.2023-02-01
-0.2372567506219259,178.2023-03-01
-0.2839500882423064,178.2023-04-01
-0.15008558016841106,178.2023-05-01
-0.2270602407013244,178.2023-06-01
-0.13986338634353523,178.2023-07-01
-0.0702856901858763,178.2023-08-01
0.02438518025946764,178.2023-09-01
-0.13680700175716642,178.2023-10-01
-0.10483054117545919,178.2023-11-01
-0.04085193610840983,218.2022-04-01
-0.3085552683525174,218.2022-05-01
