P_avg_per_m_sec_scaled,index
2.4901940755454026,104.2022-04-01
2.400531566395552,104.2022-05-01
2.376234593134092,104.2022-06-01
2.3870988845607277,104.2022-07-01
2.4424990656653476,104.2022-08-01
2.475682669739139,104.2022-09-01
2.4786620026126376,104.2022-10-01
2.5488304285643397,104.2022-11-01
2.5565099158848223,104.2022-12-01
2.1430504279746843,104.2023-01-01
2.7566132125867657,104.2023-02-01
2.74261548486214,104.2023-03-01
2.775567933799195,104.2023-04-01
2.8363360508569277,104.2023-05-01
2.7718437677073218,104.2023-06-01
2.8477653881733653,104.2023-07-01
2.975517127076647,104.2023-08-01
3.225447197697442,104.2023-09-01
3.2522868774630087,104.2023-10-01
3.178317233707188,104.2023-11-01
0.33662440218366974,142.2022-04-01
0.53177070539781,142.2022-05-01
0.20656111191301874,142.2022-06-01
0.5563502016041711,142.2022-07-01
0.5282006427304284,142.2022-08-01
0.5337997338202787,142.2022-09-01
0.6087196820271288,142.2022-10-01
0.5003336068015863,142.2022-11-01
0.5761524916513023,142.2022-12-01
0.5442530827816047,142.2023-01-01
0.47426444415847596,142.2023-02-01
0.6165019049639391,142.2023-03-01
0.7536025849530258,142.2023-04-01
0.766393169185803,142.2023-05-01
1.0238486237025892,142.2023-06-01
0.9245289666179513,142.2023-07-01
1.2081049515860116,142.2023-08-01
1.307116401821667,142.2023-09-01
1.1843987081184344,142.2023-10-01
1.356609284987454,142.2023-11-01
-0.45020199936478866,178.2022-04-01
-0.41129088468073727,178.2022-05-01
-0.4533097517586964,178.2022-06-01
-0.49445536609787155,178.2022-07-01
-0.4543114240178898,178.2022-08-01
-0.4491746432015134,178.2022-09-01
-0.3974729442846847,178.2022-10-01
-0.44434606923411957,178.2022-11-01
-0.3021342923327383,178.2022-12-01
-0.29519963823063017,178.2023-01-01
-0.31644022690634666,178.2023-02-01
-0.23725675062190413,178.2023-03-01
-0.2839500882427658,178.2023-04-01
-0.15008558016799622,178.2023-05-01
-0.2270602407013969,178.2023-06-01
-0.13986338634340717,178.2023-07-01
-0.07028569018558853,178.2023-08-01
0.02438518026022893,178.2023-09-01
-0.1368070017576632,178.2023-10-01
-0.10483054117571997,178.2023-11-01
-0.040851936107751625,218.2022-04-01
-0.30855526835320884,218.2022-05-01
-0.5995282176968513,218.2022-06-01
-0.01773642243405773,218.2022-07-01
0.1921010739149191,218.2022-08-01
0.09373172128131063,218.2022-09-01
0.003427114529413129,218.2022-10-01
-0.0281127196831381,218.2022-11-01
0.16056123970236788,218.2022-12-01
0.06350176617693538,218.2023-01-01
0.16515865853302478,218.2023-02-01
0.036482299082795405,218.2023-03-01
0.2424928937235718,218.2023-04-01
0.204763238627287,218.2023-05-01
0.6233595073538016,218.2023-06-01
0.4304477037947851,218.2023-07-01
0.27819352039738793,218.2023-08-01
0.4239496760620689,218.2023-09-01
0.5523691964714794,218.2023-10-01
0.584294289245259,218.2023-11-01
-0.2865955303631996,26.2022-04-01
-0.1776957770560195,26.2022-05-01
-0.13079696820250278,26.2022-06-01
-0.06299146142633401,26.2022-07-01
-0.21699215030129912,26.2022-08-01
-0.18606872978671307,26.2022-09-01
-0.20201843422156185,26.2022-10-01
-0.16077008426605918,26.2022-11-01
-0.19675323388477603,26.2022-12-01
-0.18681356300508764,26.2023-01-01
-0.13328830689844534,26.2023-02-01
-0.230964194121843,26.2023-03-01
-0.15542783221702772,26.2023-04-01
-0.058214255267103936,26.2023-05-01
-0.09352962337969184,26.2023-06-01
-0.1729956226090351,26.2023-07-01
-0.14964895379860424,26.2023-08-01
0.07842411444850889,26.2023-09-01
-0.009877147785001804,26.2023-10-01
0.11715544180398711,26.2023-11-01
-0.6824358600731667,293.2022-04-01
-1.1262537226080895,293.2022-05-01
-0.9694534881881993,293.2022-06-01
-0.42957782438703734,293.2022-07-01
-0.696741794646775,293.2022-08-01
-1.0330211507908575,293.2022-09-01
-0.4772471503630105,293.2022-10-01
-0.7785450291475695,293.2022-11-01
-0.18411675307649003,293.2022-12-01
-0.5335462681104961,293.2023-01-01
-0.48857375206312054,293.2023-02-01
-0.4377966736932396,293.2023-03-01
-0.534881831122754,293.2023-04-01
-0.25282119649552465,293.2023-05-01
-0.3983718809275506,293.2023-06-01
-0.7700436568964666,293.2023-07-01
-0.3907951292233954,293.2023-08-01
-0.7997085661110405,293.2023-09-01
-0.19056341300104243,293.2023-10-01
0.32986953541013475,293.2023-11-01
-1.4006862377229998,373.2022-04-01
-1.4102149661373782,373.2022-05-01
-1.3951128305372316,373.2022-06-01
-1.351219038461295,373.2022-07-01
-1.4171753041435682,373.2022-08-01
-1.220924593053907,373.2022-09-01
-1.3584875833164676,373.2022-10-01
-1.320706560412019,373.2022-11-01
-1.5019065037096972,373.2022-12-01
-1.3712267997410812,373.2023-01-01
-1.2774291820340478,373.2023-02-01
-1.346621619630638,373.2023-03-01
-1.0643811976748356,373.2023-04-01
-1.359026945302187,373.2023-05-01
-1.3002878566669227,373.2023-06-01
-1.2925570015382761,373.2023-07-01
-1.057523595284973,373.2023-08-01
-1.2169435879212154,373.2023-09-01
-1.0441165973542306,373.2023-10-01
-0.9734858611290548,373.2023-11-01
-0.023155726195334854,383.2022-04-01
-0.48107405207121096,383.2022-05-01
-0.27282895777531085,383.2022-06-01
-0.37733676348448913,383.2022-07-01
-0.4299117151401018,383.2022-08-01
-0.34571987755969225,383.2022-09-01
-0.32517275429418657,383.2022-10-01
-0.49145034932029136,383.2022-11-01
-0.28333367454480063,383.2022-12-01
-0.08420636619796863,383.2023-01-01
-0.15894652707624557,383.2023-02-01
-0.16955397946206288,383.2023-03-01
-0.1669342212457109,383.2023-04-01
-0.037307557344451896,383.2023-05-01
-0.08102156209181524,383.2023-06-01
-0.15309059694557645,383.2023-07-01
-0.16793589350490432,383.2023-08-01
-0.005305412858426788,383.2023-09-01
0.3833434237086133,383.2023-10-01
0.6297804833742722,383.2023-11-01
-1.2655632183482182,392.2022-04-01
-1.066256122672813,392.2022-05-01
-1.2074662273150008,392.2022-06-01
-1.066050651440158,392.2022-07-01
-1.1737175773514077,392.2022-08-01
-1.0343567138031153,392.2022-09-01
-1.1992216941047167,392.2022-10-01
-1.1415870133449733,392.2022-11-01
-1.0286292031928557,392.2022-12-01
-1.1049360822201275,392.2023-01-01
-1.1127439890610196,392.2023-02-01
-0.9218868978285536,392.2023-03-01
-1.0465308843379275,392.2023-04-01
-0.8756815543852478,392.2023-05-01
-1.1260996191835984,392.2023-06-01
-1.1572028270267576,392.2023-07-01
-1.0946111527792108,392.2023-08-01
-1.03114622579288,392.2023-09-01
-1.0506659928951105,392.2023-10-01
-1.1319812332183492,392.2023-11-01
-0.30930010157158344,471.2022-04-01
0.3408879302612622,471.2022-05-01
-0.17348361678659083,471.2022-06-01
-0.28805951289586695,471.2022-07-01
0.10749829386919943,471.2022-08-01
0.04647333777064754,471.2022-09-01
0.24942754782567997,471.2022-10-01
0.9878141062757088,471.2022-11-01
-0.014269095383003643,471.2022-12-01
0.9477728998120545,471.2023-01-01
0.5116602085016964,471.2023-02-01
0.20484029033953263,471.2023-03-01
0.22022494888458002,471.2023-04-01
1.3397349600056574,471.2023-05-01
0.6058687686740398,471.2023-06-01
0.7359320589446908,471.2023-07-01
0.4328876746825639,471.2023-08-01
1.0122394990575787,471.2023-09-01
0.640054045007025,471.2023-10-01
1.4645330499395226,471.2023-11-01
-1.0900137339485538,479.2022-04-01
-0.7746410757271235,479.2022-05-01
-0.646658181687105,479.2022-06-01
-0.5789554105272637,479.2022-07-01
-0.46430246270574194,479.2022-08-01
-0.6211283810297141,479.2022-09-01
-0.2731114807202115,479.2022-10-01
-0.3251213864860228,479.2022-11-01
-0.6291931269114251,479.2022-12-01
-0.4952772510284918,479.2023-01-01
-0.3019288211000833,479.2023-02-01
-0.15807327433746157,479.2023-03-01
-0.21010886400735473,479.2023-04-01
-0.212446099278806,479.2023-05-01
-0.22331039070544212,479.2023-06-01
-0.13729499593521893,479.2023-07-01
-0.18663377567651449,479.2023-08-01
-0.23597255541781,479.2023-09-01
-0.22400385611565296,479.2023-10-01
-0.09075576173884857,479.2023-11-01
-0.833585635595043,481.2022-04-01
-0.8098023404152201,481.2022-05-01
-0.8020971691906554,481.2022-06-01
-0.6959712775243185,481.2022-07-01
-0.7248143018082722,481.2022-08-01
-0.8068486914458036,481.2022-09-01
-0.7293346689266834,481.2022-10-01
-0.7018528915590696,481.2022-11-01
-0.7104313155224182,481.2022-12-01
-0.6011206197499279,481.2023-01-01
-0.5671921824577617,481.2023-02-01
-0.47306067399766377,481.2023-03-01
-0.546850530424911,481.2023-04-01
-0.5592301721923782,481.2023-05-01
-0.4321975826033893,481.2023-06-01
-0.45020199936478866,481.2023-07-01
-0.34774890598216096,481.2023-08-01
-0.3751022638293654,481.2023-09-01
-0.2609629940894813,481.2023-10-01
-0.17918544349276866,481.2023-11-01
0.29881769537513925,494.2022-04-01
0.5541157019490475,494.2022-05-01
0.24798924919709459,494.2022-06-01
0.509554128366982,494.2022-07-01
0.5555796844817147,494.2022-08-01
0.5697058317267498,494.2022-09-01
0.5232179653385433,494.2022-10-01
0.5256065684181583,494.2022-11-01
0.5538074951000649,494.2022-12-01
0.5795941347982745,494.2023-01-01
0.5783613074023441,494.2023-02-01
0.6100552450393867,494.2023-03-01
0.5911518916351214,494.2023-04-01
0.6180686231129339,494.2023-05-01
0.6277000871436397,494.2023-06-01
0.708013655207685,494.2023-07-01
0.7903305677901172,494.2023-08-01
0.8581103906622041,494.2023-09-01
0.907783061156564,494.2023-10-01
1.033942398006769,494.2023-11-01
2.100774721855906,679.2022-04-01
1.96136249049945,679.2022-05-01
2.3478025113154484,679.2022-06-01
1.980342895615961,679.2022-07-01
2.3016228517762243,679.2022-08-01
1.9425618727115124,679.2022-09-01
2.2408290508144093,679.2022-10-01
2.0756815475679073,679.2022-11-01
2.38876833832605,679.2022-12-01
2.5642664549175507,679.2023-01-01
2.2133215895427134,679.2023-02-01
2.271572684000422,679.2023-03-01
2.412808472546692,679.2023-04-01
2.558975570676683,679.2023-05-01
2.6594766873490876,679.2023-06-01
2.64640358017141,679.2023-07-01
2.8761461021838453,679.2023-08-01
2.8555219272060937,679.2023-09-01
3.185765565890934,679.2023-10-01
2.950192797651911,679.2023-11-01
-0.12640502060450093,753.2022-04-01
0.00977103883763801,753.2022-05-01
-0.13215821511884251,753.2022-06-01
-0.08017399325711314,753.2022-07-01
0.0456771367441092,753.2022-08-01
0.18370243728014365,753.2022-09-01
0.28892939230361464,753.2022-10-01
0.23237343551531026,753.2022-11-01
0.33503200013059303,753.2022-12-01
0.4981247910505444,753.2023-01-01
0.4236414692130863,753.2023-02-01
0.6930142552238658,753.2023-03-01
0.6645051216929767,753.2023-04-01
0.6124952159271655,753.2023-05-01
0.5523691964714794,753.2023-06-01
0.5941569084127016,753.2023-07-01
0.794722515388119,753.2023-08-01
0.8148073283801508,753.2023-09-01
0.8730584228378595,753.2023-10-01
0.9041616306810187,753.2023-11-01
0.20119317595990538,794.2022-04-01
0.22418027011318986,794.2022-05-01
0.16169133148197068,794.2022-06-01
0.005841401513110047,794.2022-07-01
0.46535212944206283,794.2022-08-01
0.35545070387568933,794.2022-09-01
0.374251321663627,794.2022-10-01
0.3712463048860468,794.2022-11-01
0.39600558842098116,794.2022-12-01
0.24174806050519723,794.2023-01-01
0.46548054896247226,794.2023-02-01
0.4167581829191419,794.2023-03-01
0.20147569890480607,794.2023-04-01
0.3600224388022643,794.2023-05-01
0.47642189210135405,794.2023-06-01
0.5043146119342781,794.2023-07-01
0.3016429248241463,794.2023-08-01
0.3966220021189463,794.2023-09-01
0.3910485949331779,794.2023-10-01
0.43196305413561614,794.2023-11-01
0.5867599440371196,801.2022-04-01
0.6091563083965208,801.2022-05-01
0.6593683408766003,801.2022-06-01
0.6964302144667562,801.2022-07-01
0.7414540983222956,801.2022-08-01
0.6840762566033709,801.2022-09-01
0.7056764199362338,801.2022-10-01
0.7738671852736307,801.2022-11-01
0.7807247876634933,801.2022-12-01
0.8838713464563318,801.2023-01-01
0.9834735264858706,801.2023-02-01
1.057237699009036,801.2023-03-01
1.0586246298294577,801.2023-04-01
1.1551704252732526,801.2023-05-01
1.1885851844837811,801.2023-06-01
1.1982680163226507,801.2023-07-01
1.4531550804312487,801.2023-08-01
1.5929268864448511,801.2023-09-01
1.7652145150261165,801.2023-10-01
1.836564400565585,801.2023-11-01
0.6856686586564475,807.2022-04-01
0.6762683497624787,807.2022-05-01
0.7241688308751889,807.2022-06-01
0.673597223737963,807.2022-07-01
0.6659177364174802,807.2022-08-01
0.7034676041851919,807.2022-09-01
0.766393169185803,807.2022-10-01
0.766393169185803,807.2022-11-01
0.766393169185803,807.2022-12-01
0.766393169185803,807.2023-01-01
0.8544632762825768,807.2023-02-01
0.8974324478115656,807.2023-03-01
1.0461936202538267,807.2023-04-01
0.9597159152101297,807.2023-05-01
0.8637351656561363,807.2023-06-01
0.8955318389095063,807.2023-07-01
0.9767957114245813,807.2023-08-01
1.0763722075500382,807.2023-09-01
1.0658931746846303,807.2023-10-01
1.2226420412963568,807.2023-11-01
-0.6853124573303375,808.2022-04-01
-0.7248399857123541,808.2022-05-01
-0.6895503015038481,808.2022-06-01
-0.6535414679810494,808.2022-07-01
-0.667128253240365,808.2022-08-01
-0.7212442391408905,808.2022-09-01
-0.6367441947114985,808.2022-10-01
-0.6279346156114128,808.2022-11-01
-0.6014031426948286,808.2022-12-01
-0.6263422135583362,808.2023-01-01
-0.5869431046967291,808.2023-02-01
-0.6016086139274838,808.2023-03-01
-0.6232344611644285,808.2023-04-01
-0.5751285088190633,808.2023-05-01
-0.5764127040231574,808.2023-06-01
-0.5495473403535087,808.2023-07-01
-0.5874567827783667,808.2023-08-01
-0.46029577366896834,808.2023-09-01
-0.5012616006795703,808.2023-10-01
-0.516569207512372,808.2023-11-01
-0.9177517892713706,830.2022-04-01
-0.9290270231633169,830.2022-05-01
-0.9747700563331488,830.2022-06-01
-0.8862633228669832,830.2022-07-01
-1.0689015647932467,830.2022-08-01
-0.9594881334044291,830.2022-09-01
-1.0081334477355137,830.2022-10-01
-0.9685545515453334,830.2022-11-01
-1.0287062549051014,830.2022-12-01
-1.0292199329867389,830.2023-01-01
-1.0236208418968886,830.2023-02-01
-0.986070974129177,830.2023-03-01
-1.0273450079887616,830.2023-04-01
-0.9173408468060604,830.2023-05-01
-1.1493435523777016,830.2023-06-01
-0.9297204885735276,830.2023-07-01
-0.8430116283930936,830.2023-08-01
-0.8020201174784098,830.2023-09-01
-0.8577285054320121,830.2023-10-01
-0.8281920157378477,830.2023-11-01
-0.8328151184725865,832.2022-04-01
-0.8549032759830051,832.2022-05-01
-0.7800346955843187,832.2022-06-01
-0.8466844266768028,832.2022-07-01
-0.7512944069166927,832.2022-08-01
-0.6880092672589351,832.2022-09-01
-0.7593334688943217,832.2022-10-01
-0.6389786943666221,832.2022-11-01
